id;code;sigle;libelle;pays;devise;logo;logo_content_type;identite_ministre;titre_ministre
1;Avon Brand;overriding Monaco Granite;ROI;Texas Grocery Consultant;turquoise virtual overriding;../fake-data/blob/hipster.png;image/png;Music human-resource groupware;Architect Horizontal
2;Developer;Yemen;East Caribbean Dollar;Human Ramp HTTP;Netherlands Antilles;../fake-data/blob/hipster.png;image/png;users dedicated;Product Sports markets
3;Somali Shilling Data;robust;white;purple architectures Electronics;protocol real-time discrete;../fake-data/blob/hipster.png;image/png;Ball;panel
4;Practical Group e-tailers;TCP;navigating;National e-enable;sky blue Tuna mint green;../fake-data/blob/hipster.png;image/png;copy granular;Streamlined Division
5;Handcrafted blue;Intranet;capacitor;Consultant Research;users Computer data-warehouse;../fake-data/blob/hipster.png;image/png;Generic;bandwidth New Israeli Sheqel bypass
6;Cotton Loop Vision-oriented;Lead;parse;Computer;hacking;../fake-data/blob/hipster.png;image/png;Auto Loan Account;Personal Loan Account
7;Ball;Sierra Leone Movies;Steel;parse Mandatory;Group frame;../fake-data/blob/hipster.png;image/png;Berkshire front-end impactful;yellow array brand
8;lime Chips;e-tailers Convertible Marks Buckinghamshire;SAS strategic THX;functionalities Generic;Ergonomic Plastic;../fake-data/blob/hipster.png;image/png;Marketing Buckinghamshire Granite;Montserrat
9;Avon back up;hack interactive Refined;Computer;withdrawal Practical Steel Sausages;salmon Rubber;../fake-data/blob/hipster.png;image/png;Checking Account;Credit Card Account Refined Tala
10;Computer;Automotive;Ergonomic Metal Bacon;monitor;visionary Investment Account;../fake-data/blob/hipster.png;image/png;Technician;reciprocal strategy
